Genome	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34
MAG01219_bin.18	0	0	0	0	0	243	0	19654	99	0	181	0	0	4460	8214	0	0	9755	0	10429	0	0	988	399	0	0	7300	0	0	0	0	4782	62442	7277
MAG01219_bin.19	0	5526	0	0	97	3734	0	805	0	0	142	934	0	335	0	0	0	337	0	5680	12448	0	2851	0	0	6988	0	0	0	268	0	775	57290	497
MAG01219_bin.25	106407	45439	20163	1723	5220	10162	16519	27586	3846	0	0	0	0	13310	1862	0	1951	4939	1715	4655	7072	2602	0	956	4764	1461	4683	17343	3904	4294	3966	4782	142183	4088
MAG01219_bin.26	9425	25606	0	713	0	0	8458	1210	17560	0	39497	0	26910	0	3890	3122	3931	1164	0	16600	692	1392	5015	15818	1424	10111	6529	971	1317	0	0	41485	107014	5749
MAG01219_bin.30	175221	214590	71962	57646	0	70537	162418	48309	140527	1930	161740	0	0	28839	110392	134355	13700	34858	0	103778	44805	34700	84233	1638	1129	256113	97984	57882	187	23628	8367	121566	540602	18204
MAG01219_bin.31	0	844	0	3531	202661	4193	279997	0	65223	1119	0	0	192	969	0	0	25670	0	9969	16527	1874	24124	0	25826	0	1788	0	0	190454	217799	441724	159609	782650	472
MAG01219_bin.33	12125	18802	2616	0	1907	3232	10301	5885	2786	1182	2621	0	3305	1745	2925	1975	1696	3104	0	2554	4561	2762	3211	1664	3792	0	3315	4381	9075	0	3102	3041	113698	4114
MAG01219_bin.35	0	370235	5650	13296	67255	32493	40328	9265	7777	35288	34430	13739	122183	19151	8134	12044	24947	8793	283	145780	17077	17753	7115	22738	9888	0	25891	11380	201981	24212	72801	111745	123794	24492
MAG01219_bin.36	2767	244909	1263	19961	50269	19798	167685	2772	51172	22205	59031	0	120977	0	2079	0	5305	2786	0	229598	25165	7680	1733	111399	12784	20574	101685	6933	28993	39925	68667	196672	330157	10116
MAG01219_bin.37	70411	153993	74518	59323	20732	81350	91542	97190	198512	10053	120983	0	0	36287	118355	10440	9578	81475	197	165195	69027	141407	59895	14696	0	185141	353370	130153	0	27138	97118	129819	1282247	53508
MAG01219_bin.4	5291	24163	2023	12068	12153	16585	104480	2325	43046	0	20824	0	10437	0	3909	2840	0	4686	680	63712	9897	0	3628	9210	1862	16134	34655	2534	15502	5002	4610	93148	112443	16792
MAG01219_bin.9	44304	55039	29388	20656	53258	25925	54224	7743	14081	12666	41069	0	38383	0	12098	0	14407	7654	0	10946	45144	35929	17361	21534	32886	82440	16708	0	25701	39183	35008	48556	173903	42198
MAG01220_bin.11	16912	384977	3540	117115	22862	14604	262308	11298	10621	18112	282504	14939	14210	17555	26430	7713	87286	7471	0	416447	12690	26546	10041	380663	230944	3500	228587	11164	131055	84108	361155	539321	187066	5020
MAG01220_bin.13	5311	417525	0	39624	10529	22682	178122	10788	130946	4200	82987	0	24172	6611	17611	1622	8890	1140	0	433759	25756	18479	0	174005	27907	0	132749	10450	63361	25427	67270	287889	42342	12623
MAG01220_bin.14	0	1392	6909	0	441	0	0	23487	0	237	0	0	0	5294	10277	0	0	11291	0	76838	0	326	5440	0	0	83	9633	0	187	0	245	24851	19353	8893
MAG01220_bin.15	5716	201390	132923	329997	1735	218066	555895	23962	26394	154182	365905	0	28210	102496	181765	1373	58612	32506	0	1501447	850202	253220	169452	45447	36410	4242	56260	307319	11965	313356	449057	165556	260874	794526
MAG01220_bin.22	1895	63403	1904	10932	18406	8861	78062	2090	17457	6082	43469	0	36224	3911	5776	10117	5607	2773	0	151674	12568	0	1839	40281	0	4196	40394	4942	21966	13922	25231	83443	51837	25940
