sample	population
Sample01	Population1
Sample02	Population3
Sample03	Population1
Sample04	Population2
Sample05	Population3
Sample06	Population2
Sample07	Population3
Sample08	Population1
Sample09	Population2
Sample10	Population3
Sample11	Population2
Sample12	Population3
Sample13	Population3
Sample14	Population1
Sample15	Population1
Sample16	Population1
Sample17	Population2
Sample18	Population1
Sample19	Population3
Sample20	Population2
Sample21	Population3
Sample22	Population2
Sample23	Population1
Sample24	Population3
Sample25	Population2
Sample26	Population1
Sample27	Population3
Sample28	Population1
Sample29	Population3
Sample30	Population2
Sample31	Population3
Sample32	Population2
Sample33	Population3
Sample34	Population3
