Genome	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
MAG01562_bin.1	35894	19561	14812	8979	90402	6004	6475	17642
MAG01562_bin.10	1024	877123	23816	2444	260487	383528	494535	598763
MAG01562_bin.14	13227	29886	8168	26504	43301	23117	26380	9497
MAG01562_bin.15	4881	33890	129	32530	87375	48265	10488	7511
MAG01562_bin.19	2870	1322028	68921	83799	287596	47247	148905	51615
MAG01562_bin.20	9770	24626	94926	11850	165033	33720	48941	28162
MAG01562_bin.21	3762	77169	4802	32290	60560	3585	11331	4634
MAG01562_bin.3	160446	571980	348421	98301	263591	274946	150044	123041
MAG01562_bin.4	2440	171913	63118	149974	222551	12296	843820	3235
MAG01562_bin.5	8820	33707	35311	19492	73074	38274	33487	10064
MAG01562_bin.6	2217	14302	203	6135	64627	23989	278	545
MAG01562_bin.7	740	1086	1467	12277	55575	4687	9105	882
MAG01562_bin.8	1597	2742	1932	33	117329	47688	14681	16045
MAG01562_bin.9	26482	49784	60011	122246	332492	7718	2828	28450
MAG01564_bin.10	4430	22006	52068	13671	28646	26422	35295	6489
MAG01564_bin.11	36153	607856	495857	2921	29105	2832	59139	151731
MAG01564_bin.13	32920	102891	61841	29994	41396	28268	36313	22786
MAG01564_bin.16	147804	2024944	395024	11586	11842	196532	54950	280859
MAG01564_bin.17	19471	89939	380813	14631	2496	3870	26424	13881
MAG01564_bin.2	12816	6	87211	24964	2	2	6	4
MAG01564_bin.21	1128	64474	383537	1406	48590	82298	124595	33118
MAG01564_bin.23	2644	16996	115125	49122	8533	4144	26027	211890
MAG01564_bin.26	2141	114203	343904	3847	129	593	53372	1657
MAG01564_bin.3	1311	5190	44515	2473	20548	24970	12438	3171
MAG01564_bin.31	3574	53515	285265	1929	3780	37764	19757	19547
MAG01564_bin.32	1684	4486	277993	310702	892	1909	2200	14898
MAG01564_bin.33	9741	25452	31175	728	6411	6803	12564	5957
MAG01564_bin.39	44534	47192	109936	58585	27486	113940	122186	13326
MAG01564_bin.4	5486	30418	120556	36244	24077	5879	82504	56096
MAG01564_bin.40	4828	2825	161288	3713	1086	1872	97383	143804
MAG01564_bin.43	585734	1124554	160056	1264070	584908	942281	1006711	141240
MAG01564_bin.5	8432	26958	32823	1921	14951	10253	15126	27793
MAG01564_bin.6	38183	101983	103467	220510	16376	31490	187633	112478
MAG01564_bin.8	18531	62500	122116	15945	15767	58367	44364	106618
MAG01565_bin.1	352040	9392	880	1892151	3516	153594	2146	1754
MAG01565_bin.10	243704	1789	6850	2967	1161	1335	4175	3449
MAG01565_bin.11	286178	44624	64409	2163	667	2852	40190	1080
MAG01565_bin.12	76080	205207	33583	51150	41476	13226	53362	125302
MAG01565_bin.13	241784	1870	774	41069	8201	22401	55223	18879
MAG01565_bin.14	293078	103805	8704	14369	5937	307607	84174	38460
MAG01565_bin.15	368156	939	359	370	347	424	445	584
MAG01565_bin.18	434233	445438	1466	907910	44074	177962	209428	297850
MAG01565_bin.19	276322	22666	12527	3109	13161	236663	17494	12083
MAG01565_bin.20	454605	17136	39803	34633	4444	38603	168117	43060
MAG01565_bin.22	681652	95222	262891	5385	12084	7173	28836	35432
MAG01565_bin.23	89776	119458	661	40520	34588	19583	19748	57276
MAG01565_bin.24	263278	8137	752	1496	11113	13832	2316	22424
MAG01565_bin.26	120051	17042	8987	1006	340	581	13366	696
MAG01565_bin.27	364020	6266	129769	3331	4559	53736	7284	12599
MAG01565_bin.29	781417	619838	2025469	43343	35453	656673	256014	205036
MAG01565_bin.3	134393	3305	4090	2626	7328	321340	34475	51674
MAG01565_bin.32	68322	46952	44159	13102	7500	11879	11627	37299
MAG01565_bin.33	48127	106314	27870	13695	5994	7850	24334	26064
MAG01565_bin.35	66765	657	3605	1707	295	1249	4620	2492
MAG01565_bin.36	678321	23915	18722	216516	21611	334157	11561	38510
MAG01565_bin.37	137458	62969	5016	8132	18115	35379	14952	12092
MAG01565_bin.38	474274	784739	544007	15	19937	145265	428397	502072
MAG01565_bin.4	282838	378381	1705	3220	1874	3359	112621	56974
MAG01565_bin.40	324631	19917	22216	13521	7565	14554	21851	20168
MAG01565_bin.41	44776	39987	29964	18228	11557	21236	29473	22930
MAG01565_bin.42	65792	7010	13289	32590	8099	22702	9363	20203
MAG01565_bin.43	327946	3054	1367	2111	6294	57958	1340	1463
MAG01565_bin.44	345523	5021	3498	1294	46528	196136	479889	1024
MAG01565_bin.45	127277	2239	1166	1184	1315	31684	1231	2246
MAG01565_bin.6	69397	2603	1711	446725	280	1309	1079	1267
MAG01565_bin.7	87615	4782	22340	16272	3671	16510	24581	13410
MAG01565_bin.8	163813	1757	23366	3521	1351	1945	3470	4540
MAG01566_bin.10	511	1869	6857	13269	5263	42598	56566	5848
MAG01566_bin.11	6514	37662	13723	2743	7292	14431	176995	41752
MAG01566_bin.12	12893	19046	28095	5623	1596	23463	269833	18129
MAG01566_bin.14	30457	120804	63057	12001	60066	50622	71102	16945
MAG01566_bin.18	11491	14758	272765	131459	22421	14541	514032	117226
MAG01566_bin.23	19462	33034	25480	6337	7183	11964	46197	24739
MAG01566_bin.24	11108	39445	25004	9416	27752	14405	156216	76727
MAG01566_bin.26	21209	35956	14366	32089	11768	47855	116720	33560
MAG01566_bin.29	8580	9975	87353	26311	2946	8940	94142	392
MAG01566_bin.3	1484	2529	2961	1592	6132	2273	70610	686
MAG01566_bin.31	4302	38327	1559	2703	26653	25523	99078	1708
MAG01566_bin.32	7955	42071	2170	63619	2953	5361	184503	13303
MAG01566_bin.38	2361	3609	10687	10207	1814	2172	124988	36960
MAG01566_bin.39	195712	28529	58243	12691	7821	30650	44541	24111
MAG01566_bin.4	28032	114286	44661	15665	6386	8881	49346	28160
MAG01566_bin.40	6910	5838	6298	3377	49598	38559	197266	1745
MAG01566_bin.42	4818	20480	31761	12223	24258	22058	42406	5882
MAG01566_bin.44	18537	2759	10386	21661	13799	15175	131858	63020
MAG01566_bin.5	22095	365616	90975	427	17370	1580	74659	96989
MAG01566_bin.6	15606	17087	4487	6218	1414	6607	832305	40443
MAG01566_bin.9	162922	89542	315841	102350	11723	28217	243430	85094
MAG01567_bin.1	122783	127166	69257	27654	61061	247041	41178	29944
MAG01567_bin.10	679830	576503	291785	412475	107369	651009	267922	287444
MAG01567_bin.13	29365	1604	27519	780	1038	75790	3054	1528
